Sample_ID,Valid_Length,RMSD_Angstroms,Full_dRMSD,Helix_dRMSD,Sheet_dRMSD,GDT_TS,TM_Score,Q3_Accuracy,Top-L/2_Prec
20118,196,38.5876,31.6644,0.3775,0.3846,0.0026,0.0491,0.7194,0.2041
20119,169,15.1723,9.9813,0.5974,0.4519,0.0710,0.2016,0.3846,0.4167
20120,195,22.4752,11.5745,0.3208,0.3785,0.0141,0.0997,0.6103,0.0309
20121,196,17.0292,9.7581,nan,0.3102,0.0332,0.1489,0.5765,0.1633
20122,117,25.4092,20.3550,1.7436,2.6077,0.0107,0.0477,0.4103,0.0000
20123,200,33.4060,25.2625,0.1914,0.4414,0.0163,0.0701,0.5200,0.0500
20124,166,21.9038,12.7947,0.7381,1.2203,0.0090,0.0763,0.2831,0.1446
20125,172,13.2619,5.4667,0.4748,0.4092,0.1017,0.2338,0.3314,0.0814
20126,184,17.5525,9.1349,0.9420,nan,0.0666,0.1756,0.4511,0.0870
20127,186,13.3580,6.3430,0.7284,0.9873,0.0753,0.2148,0.3172,0.0860
20128,200,18.7246,9.0913,0.4269,0.1346,0.0225,0.1384,0.6200,0.0000
20129,180,33.4321,27.0695,0.8265,0.3796,0.0000,0.0401,0.1889,0.0111
